 Hello, jx, ith, ith_tot, ith_max =           1          12          20          20
 Hello, jx, ith, ith_tot, ith_max =           2           8          20          20
 Hello, jx, ith, ith_tot, ith_max =           5          11          20          20
 Hello, jx, ith, ith_tot, ith_max =           7           2          20          20
 Hello, jx, ith, ith_tot, ith_max =          13          10          20          20
 Hello, jx, ith, ith_tot, ith_max =          16           9          20          20
 Hello, jx, ith, ith_tot, ith_max =           4           1          20          20
 Hello, jx, ith, ith_tot, ith_max =           8          19          20          20
 Hello, jx, ith, ith_tot, ith_max =           9          14          20          20
 Hello, jx, ith, ith_tot, ith_max =          10           6          20          20
 Hello, jx, ith, ith_tot, ith_max =          11          18          20          20
 Hello, jx, ith, ith_tot, ith_max =          12          16          20          20
 Hello, jx, ith, ith_tot, ith_max =          14          13          20          20
 Hello, jx, ith, ith_tot, ith_max =          15          17          20          20
 Hello, jx, ith, ith_tot, ith_max =           6           3          20          20
 Hello, jx, ith, ith_tot, ith_max =          17           0          20          20
 Hello, jx, ith, ith_tot, ith_max =           3           4          20          20
 Hello, jx, ith, ith_tot, ith_max =          18           5          20          20
 Hello, jx, ith, ith_tot, ith_max =          19           7          20          20
 Hello, jx, ith, ith_tot, ith_max =          20          15          20          20
 Hello, jx, ith, ith_tot, ith_max =          21          11          20          20
 Hello, jx, ith, ith_tot, ith_max =          38           1          20          20
 Hello, jx, ith, ith_tot, ith_max =          27          17          20          20
 Hello, jx, ith, ith_tot, ith_max =          22          15          20          20
 Hello, jx, ith, ith_tot, ith_max =          25          14          20          20
 Hello, jx, ith, ith_tot, ith_max =          31           3          20          20
 Hello, jx, ith, ith_tot, ith_max =          28          19          20          20
 Hello, jx, ith, ith_tot, ith_max =          32           0          20          20
 Hello, jx, ith, ith_tot, ith_max =          35           4          20          20
 Hello, jx, ith, ith_tot, ith_max =          24           6          20          20
 Hello, jx, ith, ith_tot, ith_max =          36           5          20          20
 Hello, jx, ith, ith_tot, ith_max =          37           8          20          20
 Hello, jx, ith, ith_tot, ith_max =          26           9          20          20
 Hello, jx, ith, ith_tot, ith_max =          29           2          20          20
 Hello, jx, ith, ith_tot, ith_max =          30          12          20          20
 Hello, jx, ith, ith_tot, ith_max =          34          10          20          20
 Hello, jx, ith, ith_tot, ith_max =          33          18          20          20
 Hello, jx, ith, ith_tot, ith_max =          40           7          20          20
 Hello, jx, ith, ith_tot, ith_max =          39          13          20          20
 Hello, jx, ith, ith_tot, ith_max =          23          16          20          20
 Hello, jx, ith, ith_tot, ith_max =          41           6          20          20
